id,question,answer,vector_correct,graph_correct,graph_method,vector_time,graph_time
0,What is the Berry Export Summary 2028 and what is its purpose?,"the berry export summary 2028 is a dedicated export plan for the australian strawberry, raspberry, and blackberry industries. it maps the sectors’ current position, where they want to be, high-opportunity markets, and next steps. the purpose of this plan is to grow their global presence over the next 10 years.",True,True,graph,0.0113,0.0128
1,What are some of the benefits reported from having access to Self-supply water sources?,"benefits reported from having access to self-supply water sources include convenience, less time spent for fetching water and access to more and better quality water. in some areas, self-supply sources offer important added values such as water for productive use, income generation, family safety and improved food security.",True,True,fallback,0.0091,0.0182
2,What are the unique features of the Coolands for Twitter app?,"the unique features of the coolands for twitter app include real-time updates without the need for a refresh button, avatar indicator which shows small avatars on the title bar for new messages, direct link for intuitive and convenient link opening, smart bookmark to easily return to previous reading position, and user level notification which allows customized notification settings for different users.",True,True,fallback,0.0084,0.0156
3,What is the main difference between the National Sample Survey (NSS) and the India Human Development Survey (IHDS) in terms of measuring India's inequality?,"the main difference between the nss and the ihds in terms of measuring india's inequality is that the nss focused on consumption, that is, how much people actually consume, while the ihds is based on income. the nss was showing consistently lower rates of growth and higher poverty, while the ihds revealed a higher level of inequality, similar to latin american countries.",True,True,graph,0.0088,0.0222
4,How did Gunnar Nelson win the fight against Zak Cummings at UFC Fight Night 46?,"gunnar nelson won the fight against zak cummings at ufc fight night 46 by taking his opponent to the mat, seizing his back and locking in a rear-naked choke, forcing cummings to tap with only twelve seconds of the second round remaining.",True,True,graph,0.0117,0.0142
5,What are some of the features of Fabiana Filippi's shirts and blouses?,"fabiana filippi's shirts and blouses are easily matched to different shapes, fabrics and colours. they are made from silk and cotton, and come in classic, slim and over cuts, in ultra-modern style. they are available in different lengths up to maxi lines, and come in men’s cut, korean, v, round necks. they are suitable to wear during the day and at night.",True,True,graph,0.0124,0.0123
6,How did Dan Foley feel about his portrayal on the Survivor TV show?,"dan foley expressed his frustration about his portrayal on the survivor tv show, stating that he was portrayed negatively and was surprised at how vitriolic the viewer response has been.",True,True,graph,0.0095,0.0099
7,What is the lunch that Kim and Tony plan to have on Monday according to the context?,the new york times’ green garlic tabbouleh.,True,True,graph,0.009,0.0116
8,What is the reason for the closure of the comments section?,the comments section was shut down because the spam was getting out of control.,False,False,fallback,0.0085,0.0192
9,What are the five love and relationship podcasts mentioned in the context?,"the five love and relationship podcasts mentioned in the context are ""love is like a plant"" with sarah may bates and ellen huerta, ""relationships! let’s talk about it"" with pripo teplitsky, ""unqualified"" with anna faris, ""confessions of a terrible husband"" with nick pavlidis, and ""savage lovecast"" with dan savage.",False,False,fallback,0.0086,0.0172
10,Which two teams dropped out of the Primal Quest Utah race and what were their reasons for doing so?,"the two teams that dropped out of the primal quest utah race were team utah and team xxtreme us. team utah quit due to blisters and exhaustion, while team xxtreme us, which was largely comprised of navy seals, had to withdraw due to injury.",True,True,graph,0.0087,0.0118
11,What does the word 'quantum' mean as per the context?,"the word 'quantum' means a quantity or amount, a portion, a large amount, or the smallest amount of something that can exist independently.",False,False,fallback,0.0084,0.0182
12,What is the purpose of the TRUGLO Picatinny Riser Mount?,the truglo picatinny riser mount is great for raising your red dot sight 1/2″ to be at the proper height for an ideal cheek weld.,True,True,fallback,0.0084,0.0151
13,What is the cost for credit union attendees under $35 million in assets to attend the conference?,the cost for credit union attendees under $35 million in assets to attend the conference is $495.,True,True,fallback,0.0089,0.0182
14,What was the goal of the purge of training material regarding Islamic terrorism from law enforcement training under President Barack Obama's administration?,the goal was to banish any material that could be viewed as offensive to muslims.,True,False,graph,0.0087,0.0122
15,Who is the author of the book Kapow!?,the author of the book kapow! is adam thirlwell.,True,False,graph,0.0084,0.0087
16,What are some of the names Morganite is also known as?,morganite is also known as 'pink emerald' and 'rose beryl'.,False,False,graph,0.0083,0.0312
17,What is the purpose of recycling concrete in construction?,"recycling concrete in construction helps in reutilizing the construction waste into new concrete, preserving landfill space, and reducing construction costs.",True,True,fallback,0.0248,0.049
18,What are some features of the Womens Drew Argo Black Smooth Leather sandal?,"the womens drew argo black smooth leather sandal features an adjustable strap, smooth uppers, a double depth thick removable cork footbed with memory foam, a tempered steel shank, and a broad, oblique toe shape.",True,True,fallback,0.0334,0.0653
19,What are some of the benefits of joining the SPJ Austin Student Chapter?,"joining the spj austin student chapter gives students opportunities to deepen their journalistic knowledge outside of the classroom, connect with professionals in the industry, and attend various events.",True,False,graph,0.0225,0.0381
