id,doc_id,question,answer
0,0,What is the Berry Export Summary 2028 and what is its purpose?,"The Berry Export Summary 2028 is a dedicated export plan for the Australian strawberry, raspberry, and blackberry industries. It maps the sectors’ current position, where they want to be, high-opportunity markets, and next steps. The purpose of this plan is to grow their global presence over the next 10 years."
1,1,What are some of the benefits reported from having access to Self-supply water sources?,"Benefits reported from having access to Self-supply water sources include convenience, less time spent for fetching water and access to more and better quality water. In some areas, Self-supply sources offer important added values such as water for productive use, income generation, family safety and improved food security."
2,2,What are the unique features of the Coolands for Twitter app?,"The unique features of the Coolands for Twitter app include Real-Time updates without the need for a refresh button, Avatar Indicator which shows small avatars on the title bar for new messages, Direct Link for intuitive and convenient link opening, Smart Bookmark to easily return to previous reading position, and User Level Notification which allows customized notification settings for different users."
3,3,What is the main difference between the National Sample Survey (NSS) and the India Human Development Survey (IHDS) in terms of measuring India's inequality?,"The main difference between the NSS and the IHDS in terms of measuring India's inequality is that the NSS focused on consumption, that is, how much people actually consume, while the IHDS is based on income. The NSS was showing consistently lower rates of growth and higher poverty, while the IHDS revealed a higher level of inequality, similar to Latin American countries."
4,4,How did Gunnar Nelson win the fight against Zak Cummings at UFC Fight Night 46?,"Gunnar Nelson won the fight against Zak Cummings at UFC Fight Night 46 by taking his opponent to the mat, seizing his back and locking in a rear-naked choke, forcing Cummings to tap with only twelve seconds of the second round remaining."
5,5,What are some of the features of Fabiana Filippi's shirts and blouses?,"Fabiana Filippi's shirts and blouses are easily matched to different shapes, fabrics and colours. They are made from silk and cotton, and come in classic, slim and over cuts, in ultra-modern style. They are available in different lengths up to maxi lines, and come in men’s cut, Korean, V, round necks. They are suitable to wear during the day and at night."
6,6,How did Dan Foley feel about his portrayal on the Survivor TV show?,"Dan Foley expressed his frustration about his portrayal on the Survivor TV show, stating that he was portrayed negatively and was surprised at how vitriolic the viewer response has been."
7,7,What is the lunch that Kim and Tony plan to have on Monday according to the context?,The New York Times’ Green Garlic Tabbouleh.
8,8,What is the reason for the closure of the comments section?,The comments section was shut down because the spam was getting out of control.
9,9,What are the five love and relationship podcasts mentioned in the context?,"The five love and relationship podcasts mentioned in the context are ""Love Is Like A Plant"" with Sarah May Bates and Ellen Huerta, ""Relationships! Let’s Talk About It"" with Pripo Teplitsky, ""Unqualified"" with Anna Faris, ""Confessions of a Terrible Husband"" with Nick Pavlidis, and ""Savage Lovecast"" with Dan Savage."
10,10,Which two teams dropped out of the Primal Quest Utah race and what were their reasons for doing so?,"The two teams that dropped out of the Primal Quest Utah race were Team Utah and Team xxTreme US. Team Utah quit due to blisters and exhaustion, while Team xxTreme US, which was largely comprised of Navy SEALs, had to withdraw due to injury."
11,11,What does the word 'quantum' mean as per the context?,"The word 'quantum' means a quantity or amount, a portion, a large amount, or the smallest amount of something that can exist independently."
12,12,What is the purpose of the TRUGLO Picatinny Riser Mount?,The TRUGLO Picatinny Riser Mount is great for raising your red dot sight 1/2″ to be at the proper height for an ideal cheek weld.
13,13,What is the cost for credit union attendees under $35 million in assets to attend the conference?,The cost for credit union attendees under $35 million in assets to attend the conference is $495.
14,14,What was the goal of the purge of training material regarding Islamic terrorism from law enforcement training under President Barack Obama's administration?,The goal was to banish any material that could be viewed as offensive to Muslims.
15,15,Who is the author of the book Kapow!?,The author of the book Kapow! is Adam Thirlwell.
16,16,What are some of the names Morganite is also known as?,Morganite is also known as 'pink emerald' and 'rose beryl'.
