doc_id,text
0,"Caption: Tasmanian berry grower Nic Hansen showing Macau chef Antimo Merone around his property as part of export engagement activities.
THE RISE and rise of the Australian strawberry, raspberry and blackberry industries has seen the sectors redouble their international trade focus, with the release of a dedicated export plan to grow their global presence over the next 10 years.
Driven by significant grower input, the Berry Export Summary 2028 maps the sectors’ current position, where they want to be, high-opportunity markets and next steps.
Hort Innovation trade manager Jenny Van de Meeberg said the value and volume of raspberry and blackberry exports rose by 100 per cent between 2016 and 2017. She said the Australian strawberry industry experienced similar success with an almost 30 per cent rise in export volume and a 26 per cent rise in value to $32.6M over the same period.
“Australian berry sectors are in a firm position at the moment,” she said. “Production, adoption of protected substrate cropping, improved genetics and an expanding geographic footprint have all helped put Aussie berries on a positive trajectory.
“We are seeing a real transition point. Broad industry interest and a strong commercial appetite for export market development combined with the potential to capitalise on existing trade agreements and build new trade partnerships has created this perfect environment for growth.”
High-income countries across Europe, North America and Northern Asia have been identified as having a palate for Australian grown berries with more than 4244 tonnes of fresh berries exported in the last financial year alone.
The strategy identified the best short-term prospect markets for the Australian blackberry and raspberry industry as Hong Kong, Singapore, The United Arab Emirates and Canada. The strongest short-term trade options identified for the strawberry sector were Thailand, Malaysia, New Zealand and Macau.
The strategy focuses heavily on growing the existing strawberry export market from 4 per cent to at least 8 per cent of national production by volume, in markets with a capacity and willingness to pay a premium for quality fruit. For raspberries and blackberries, the sectors aim to achieve a 5 per cent boost in exports assessed by volume across identified markets by 2021.
Tasmanian raspberry exporter Nic Hansen said Australia offers some of the sweetest and most attractive berries in the world, and this combined with our stringent food safety standards across all stages of the supply chain puts growers in a solid position.
“We have a great product, we are hungry to expand trade and now with this new plan in place, we have a clear roadmap towards driving growth,” Mr Hansen said.
He said it is exciting to see new export market prospects for raspberries: “The more options we have for export the better. Now we just have to get on with the job of ensuring industry has all the tools it needs, such as supporting data and relationship building opportunities, to thrive in new markets.”
This project was commissioned by Hort Innovation, and developed by market analysts and research consultants Auspex Strategic Advisory and AgInfinity. Hort Innovation will work now with berry sectors to determine levy-funded activities to support trade.
See a summary of the strategy on the Hort Innovation website.
For more information on the berry industries, refer to the Horticulture Statistics Handbook and the Strategic Investment Plans for strawberries, raspberries and blackberries. Growers seeking more information should email trade@horticulture.com.au"
1,"RWSN Collaborations
Southern Africa Self-supply Study Review of Self-supply and its support services in African countries
A lady in Zimbabwe proudly shows off her onions - watered from her self-supply well
© 2015 André Olschewski • Skat
Project starts: 2015
Project finished: 2016
Collaborators & Partners:.
Project Description
UNICEF and Skat have collaborated on a).
Perspectives
Reach and benefits:
- Self-supply is practised by millions of rural households in Sub-Sahara Africa as well as in Europe, USA and other areas of the world.
- Benefits reported from having access to Self-supply water sources include convenience, less time spent for fetching water and access to more and better quality water. In some areas, Self-supply sources offer important added values such as water for productive use, income generation, family safety and improved food security.
- Sustainability of services from Self-supply is high as there is strong ownership by people investing in own sources.
- As Self-supply sources are shared sources, many people, including poor and vulnerable households, benefit from investments in Self-supply, often at no costs. This means that Self-supply can be effective in reaching the hard-to-reach.
- For millions of people in rural areas of Africa, supported Self-supply will be the most cost effective service delivery model to provide access to safe water. This also includes those parts of the population which actually have poor access as they e.g. cannot afford water from communal supplies.
- However, in areas where external support for Self-supply is lacking, only marginal improvements can usually be achieved, and the quality of services is lower than in areas where a dedicated support effort was made.
Costs and business model for supported Self-supply
- In many rural contexts, supported Self-supply is the most cost effective approach for water service delivery. However, as it is not applicable in all contexts, a blended approach combining communal water supply and supported Self-supply models should be followed.
- Based on a Life Cycle Cost (LCC) analysis of different service delivery approaches, the LCC for communal supplies are about 40 US$/capita served in the study countries, whereas the LCC for supported Self-supply is about 10 U$/capita.
- In sparsely populated areas, communal supplies (e.g. handpumps) are even more costly (up to 100 U$/capita served) as only few people can be served with one additional unit. Serving all rural people with communal supply is therefore not financially viable.
- Considering the applicability of Self-supply technologies, in Zambia and Zimbabwe, the cost saving of following a blended approach using both communal supplies and supported Self-supply is almost 50% of the total LCC for reaching 100% of the population by 2030. These cost savings are equivalent to more than 330 million US$ in Zambia and more than 260 million US$ in Zimbabwe.
Support services needed
- Supported Self-supply is a service delivery model putting support services in place to improve Self-supply, so it is not about a particular technology.
- Supported Self-supply is aligned with the Human Rights to Water and Sanitation, which allows a progressive realisation of the universal access to safe water. However, supported Self-supply is not a way to exempt government from its duties: Government has specific roles to play to ensure that everybody will have access to safe water finally.
- To sustain and to take Self-supply to scale there is need for contextualised support as well as long-term engagement, capacity development at all levels, M&E and technical support, reliable funding and learning and sharing.
- Interministerial cooperation and champions within government agencies are needed to ensure sustainable embedding and for taking Self-supply further, particularly in remote rural areas.
- There is no-one-size-fits-all solution for supported Self-supply – for each programme, it needs a contextualized design and follow-up to achieve desired impact.
- Hygiene promotion, including Household Water Treatment and Safe Storage (HWTS), is highly recommended for any non-piped water supply services, including Self-supply water sources.
- The huge potential for substantially improving the level of water supply for millions of people in rural areas should be accessed through supported Self-supply. Some countries have endorsed supported Self-supply as service delivery model, such as Zimbabwe or Sierra Leone, and in Ethiopia, Self-supply is now being scaled up at national level.
More Information
» Review of Self-supply and its support services in African countries: Synthesis Report)."
2,"All Android applications categories
Description
Coolands for Twitter is a revolutionary twitter client. It has many unique features, gives you the best mobile twitter experience you never imagined before.
The first unique feature is Real-Time.
You can’t find any refresh button in this app, because you absolutely don’t need to. Every time you open it, you’ll get the latest tweets and while you’re reading, you’ll get incoming tweets in Real-Time. So if your friend mentioned you, you can reply instantly.
The second unique feature is Avatar Indicator.
Avatar Indicator is small avatars showed on the title bar to indicate that you’ve got new message/tweet/mention. Since it’s real-time, you’ll keep getting incoming tweets while you’re reading your older timeline, Avatar-Indicator will let you know who’s tweet you’ve just got, and decide whether to check it out right away.
The third unique feature is Direct Link
I think it is obviously the most intuitive and convenient way to open a link. When you want to open a link, just click it in the time line . You can also click a username to open a profile window, click a hash tag to open a search result window. Different kind of links displayed in different colors, you can change it to whatever color you like.
The fourth unique feature is Smart Bookmark
Have you ever experienced this scenario? When you are reading your home timeline, the app notified you that you’ve got some new tweets, you click “go-to-top” button to read the newest tweets, and then you want to get back to the previous position to continue your reading. How can you do this? In other twitter clients you have to scroll down all the way to find where you were, a lot of time wasted. But in this app, “go-to-top” button will appear when you scrolling up, click it, you can got to top, read the newest tweets. After that when you scrolling down, Smart Bookmark button will appear at the corner. Click it, you can get back to exactly where you were.
The fifth unique feature is User Level Notification
Notification for all your new tweets is meaningless, if you following more than a few users, you’ll get new tweets all the time. What if you only want to be notified when someone you most care about posted a new tweet? In this app, it’s easy. You can change your friend’s notification setting directly in his/her profile screen. You can also set different notification ringtone for your friends respectively. So when you heard a notification ringtone, you’ll know who he/she is without the need to open your phone. And you can manage all the enabled User-Level-Notification settings in one place.
Also has most of the basic twitter client features, like post/delete tweets, retweet, retweet with comment, reply, quote, send/delete direct message, subscribe/unsubscribe lists, follow/unfollow user, multiple accounts support, append picture with your tweets, mention auto complete, recent search auto complete, conversation view.
Please give me feedbacks if you have tried it, and I PROMISE to reply all your emails.
1.30-1.36 update:
*Ad-Free.
*3 times faster when launching and loading older tweets.
*Support unlimited accounts rather than 3 accounts.
*Support notifications for all accounts rather than only for the current account.
*Improved mention suggestion feature.
*Use URL link to do RT with comment, so you can comment more characters.
*Conversation view, click the orange(you can change the color) username in replied tweet to show conversation view.
*Support longer tweet, longer tweet will be converted to a picture automatically. You really should try it out your self.
*Refined tweet composing view, to support longer tweet.
*Support handle text shared by other app.
from 103 reviews
Download Coolands for Twitter
Free - V1.38 - 298K
Sorry ...
This app is no longer available.
Share this app
Screenshots"
3,"How unequal is India? The question is simple, the answer is not.
For some 60 years, the only reliable information about India’s inequality was coming from the annual National Sample Survey conducted from 1951. NSS is one of the most venerable surveys in the world of poverty and income distribution statistics. India started fielding it soon after its independence: the survey was supposed to track how the new government fought poverty, to provide information on caste differences, rural-urban gap, caloric intake, especially of the poor and many other statistics. Since its main concern was with poverty, the decision was made to survey consumption, that is, how much people actually consume (do they have sufficient number of calories) rather than income (how many rupees they earn).
For all these decades since 1951 NSS was the key instrument that allowed researchers from India and the rest of the world as well as Indian policymakers to know what is happening with India’s population. India could thus boast to have had a longer series of annual surveys than most rich countries (that often launched their similar surveys in the 1960s). But in addition the survey also benefited from some reflected glory which had to do with the ideals and hopes raised by the Independence and thus it had a bit of this Third World-Bandoeng Summit-Mahalanobis glow always attached to it.
But the problems started in the 1990s when the survey numbers began to diverge more and more from National Accounts statistics: NSS was showing consistently lower rates of growth, and higher poverty than many people thought it should be given India’s fast growth. This led to the famous Great India Poverty debate in which participated Angus Deaton, Amartya Sen, Jean Drèze, T.N. Srinivasan, S. Subramanian, Martin Ravallion and many others. Several representative articles are given here and here and here.
The gap between the slow moving survey mean and much faster changes in per capita GDP was also explained by the failure of NSS to capture top incomes. The top incomes may have been pulling up the mean (presumably reflected in GDP per capita) and if surveys continued, partly by design and partly by the reluctance of the rich to participate, to be focused on the bottom of the income distribution, that could explain the rising gap between NSS and national accounts.
And if indeed that was the reason, or one of the reasons, then another unpleasant conclusion imposed itself: inequality in India may be (far) higher than implied by NSS data.
And indeed, as the graph below shows, NSS kept on producing a fairly stable consumption Gini (calculated here on household per capita basis) over several decades, with only a small increase in inequality after India’s sharp turn toward capitalism in the early 1990s. That Gini, ranging between mid- and higher-30s, made India inequality look about the same as in developed countries.
/>
But until recently we had no other reliable and nationally-representative survey to confront NSS with. Now, thanks to the joint work by University of Maryland and National Council of Applied Research in New Delhi, we have (harmonized by LIS), the first income based surveys of Indian population for 2004 and, just released by LIS, another same survey for 2011.
And the results are very different from NSS’s. First, Indian Gini is remarkably consistent in both 2004 and 2011 and is (on per capita basis) 51 Gini points. This is at the level of Latin American countries and is some 15 points (or almost 40% ) higher than the Gini’s calculated from NSS. Thus a key question is immediately asked: is India’s inequality more like Latin American? NSS was saying for years that it is not; the India Human Development Survey (IHDS) argues it is.
For 2011, I have both micro data from NSS and micro data from IHDS and when I compare income/consumption by each percentile (note that these are entirely different people though), the results do make sense. For the lowest percentiles, consumption is about twice income, and everybody up to the 33rd percentile consumes more than their income (which you would expect in a poor environment). After that point, consumption consistently and monotonically falls short of income (that is, there is saving), so much that among the top 5%, income is twice as high as consumption (saving rate is 50%). Overall, the mean per capita income from IHDS is 47 percent higher than the mean per capita consumption from NSS, and as we have said, Gini is some 15 points higher.
This “reasonableness” of the data, and the absence of discontinuities when comparing income and consumption leads one to believe that it is possible that both NSS and IHDS provide accurate information (with likely underestimation of top-end consumption and income), but that income distribution in India is much more unequally distributed than consumption.
So if we compare India with other countries that use income surveys, this is how it looks (see the figure below). India seems slightly more unequal than Brazil, and more egalitarian than only South Africa.
There are many other issues that are worth exploring here, in particular if we want to look more carefully at the consistency between the two surveys, but I would like to end by considering the role of the new income survey for India from an unusual angle.
As mentioned before, since NSS was the only game in town, all our global poverty and inequality statistics were done using NSS. Now, if we replace NSS with the new income survey as I have done for the global inequality calculation for the year 2011 (unpublished), you may expect that the greater inequality revealed by IHDS would push global inequality up, especially since India is such a populous country. Right?
Wrong.
What happens is that global inequality goes down by approximately 1 Gini point since the higher income levels implied by IHDS push Indians toward the middle of the global income distribution and more than offset the contribution to higher global inequality that comes from the stretched-out Indian distribution. Thus, somewhat paradoxically, a global implication of a new, and I think more reasonable, approach of viewing India as a country with Latin American levels of income inequality is that global inequality, as calculated so far, might have been overestimated.
In conclusion, more unequal but richer India, makes the world more equal.
Note: Only a member of this blog may post a comment."
4,"Gunnar Nelson took his time on the feet against Zak Cummings tonight in the co-main event of UFC Fight Night 46, but when he finally saw an opportunity to switch up the gears in the second round he pounced on it, taking his opponent to the mat, seizing his back and locking in the fight-ending choke almost effortlessly.
Round One:
Nelson in his usual Karate style stance keeps out of range of Cummings early strikes. Then he presses into the clinch, but Cummings matches him and they jockey for position. As they break apart Nelson lands a good knee.
Nelson lands a right hook. he misses with an overhand. Nelson very relaxed, but he’s very alert and continually makes Cumming miss by backing up just enough. A right hand counter lands for Nelson, but then Cummings moves to his back and clinches up. Nelson turns though and then breaks away from the clinch.
A head kick is blocked by Cummings. Pace slowed a little now in the final 90 seconds. Cummings leaps in and nelson counters with a punch to the body. More missed shots from Cummings and then he moves into the clinch. Nothing doing and they back up. However, Cummings then comes back in and does finally land a few nice punches while Nelson has his back against the cage. Not for long though as Nelson circles out and that’s the final action of the round.
Round Two:
Nelson biding his time in the opening minute of the second as Cummings continually tries to land strikes, but generally comes up short. however, Cummings does back him up against the cage and unleash a flurry that foces Nelson to clinch.
They stay in the clinch for a while trying to gain an advantage, but it’s stalemate and they disengage. Not much volume in Nelson’s striking so far this round, but he does land a speedy right hand that clearly hits the mark. Certainly better accuracy from him, but a little more offense wouldn’t go astray.
Again he finds a home for a clinical right hand. He starts to close the distance more now, but remains patient and just snaps off another quick right.
Into clinch range and Nelson reaches for a guillotine choke and goes to the mat with it. He fluidly switches on to Cummings back. He lands a few punches and then swiftly locks in a rear-naked choke.
Impressive stuff from Nelson in the way he was able to transition so slickly to his dangerous ground game and he forces Cummings to tap with only twelve seconds of the second round remaining."
5,"The prices indicated in this catalogue do not include shipping costs.
Fabiana Filippi's shirts and blouses are the perfect base to create solid modern and refined looks thanks to their innate ability to be easily matched to different shapes, fabrics and colours. ""Must-have"" items in the wardrobe, always able to confer impeccable elegance. Silk and cotton shirts, carefully-selected precious fabrics are the protagonists of a timeless style and ultra-versatile use that satisfies the needs of multiple daily commitments. Elegant women’s shirts, interpreted with classic, slim and over cuts, in ultra-modern style. Short, long and ¾ sleeve blouses and shirts, available in different lengths up to maxi lines. Men’s cut, Korean, V, round necks are examples that underscore the versatility of the various models to wear during the day and at night, to feel the best yarns on the skin and embellish the look with surprising style details. The union between feminine essence and everyday versatility redefines the language of elegance. Creations born from the most rooted and ancient Italian handicraft tradition applied to modern lines and shapes are the expression of relaxed, aware and timeless refinement."
6,"Dan Foley: My Survivor Portrayal Was Unfair
The latest castoff expresses his frustration about how he was portrayed on TV
Over a period of three days, multiple cameras film between 300-500 hours of footage. Then, a team of editors boil all that footage down to one 44-minute episode.
Dan Foley, the latest contestant voted off the island, says he watched the first two episodes and realized that he was going to get a villain’s edit. But even he seems surprised at how negatively he was portrayed – and how vitriolic the viewer response has been.
So what did we miss? Foley, a 47-year-old postal worker from Maine, was happy to tell us.
Okay, there are going to be some tough questions today, but let’s start with an easy one: what could you have done differently to keep from going home?
You know, it’s easy to be an armchair quarterback. If I had only known that Carolyn had the immunity idol, I would have voted out Sierra.
You used your extra vote during the tribal council. Do you think that made you a target?
I said it before: superfans can’t do basic math. It made no sense for me to play that vote when there was an odd number of people left. I wanted to play it when there was an even number. And what you didn’t see was that Sierra came to me and said that Will was ready to get rid of me. And then during Tribal Council, Will said, “If Dan has the advantage, he should use it.” It was the right time to play it.
Fair enough. So what was your reaction when you were voted out? Were you angry at Carolyn?
Look, anyone who walks out of the game with a smile on their face didn’t play the game. I left that game with a fever of expletives. They didn’t show it, but I was swearing and spitting and seething after my torch was snuffed. I was absolutely furious, calling Mike every name in the book. But I don’t wish anyone ill will.
Okay, I need to call you out on your statement that flippers never win.
They don’t.
They do.
No they don’t. Tony Vlachos was a backstabber, not a flipper.
Okay, but Vecepia Towery won season 4 and she flipped twice. She flipped to vote out Boston Rob at Final 10. Then, at Final 9, she flipped back and took out the Rotu alliance.
But did she win?
Yes. She won the million. She beat Neleh Dennis.
Huh. Okay.
And Sandra Diaz Twine flipped multiple times to win.
Well, Sandra is a different case altogether. But Cochran flipped, and did that work for him?
No. No one says that all flippers don’t win. But flippers can and do win. Also, there was Danni Boatwright in Guatemala…
(Laughs) Yes, she played a good game. But I still believe that flippers don’t win. I really do.
Okay, let’s move on to the ugliness of the season. Your character was very difficult to root for.
I talked to Jeff Probst the other day and I ripped him a new one. I said, “You did me wrong. You did me dirty. You screwed me on my edit. You made me look like a piece of s—.” And Jeff said, “How do you figure?” And I said, “You cherry-picked things to show, sometimes out of context.”
Get a Tour of Jeff Probst’s ‘Spectacular’ Pad
I don’t know you. I only know the edited version of you. Are you saying that it was incorrect?When I am pushed, I push back. And I was pushed a lot. They didn’t show that. Lindsey, Sierra … they said things to me and pushed back. Look, I was always the fat guy. I learned how to stand up for myself. But you didn’t see what other people were saying or doing.
You took a lot of heat for your comments to Shirin.
Look, there’s not a single person on this season who didn’t say derogatory things about Shirin. Even Mike called her a man-hater. I made an unfortunate comment about slapping her. I had no idea about her past. None. Zero. I would never have made that comment. I apologize for saying it.
But at the same time, my comment was not meant literally. I meant it figuratively. How many times do you hear people say, “I could kill him.” Are they really plotting to kill someone? Of course not.
So where do things stand with Shirin now?
The truth of the matter is that we don’t get along. I don’t wish her ill or badly, and I hope nothing but the best for her. I hope that if she wants to go back on Survivor again, she gets that shot. There are things in her past that continue to haunt her to this day, and I hope that she gets the help that she clearly needs.
You were a big Survivor fan. Now that your reputation has taken a hit, are you still a fan of the show?
My reputation has not been harmed. The people who know me know that my edit was not who I really am. I don’t have a problem telling the truth. There are people who love me, and people who hate me. There is no real middle ground. the people who hate me can’t handle the truth.
But do you still love the show, or has your view been tainted?
How can you not have a tainted vision when you pull back the curtain and see that Oz is pulling on the levers? I’m a little disappointed, but I still love the show. Would I play it again? (Long Pause) Yeah. In a second."
7,"This Week’s Menu: Two at the Table Menu Week of May 15, 2016
We have a quiet week as far as making dinner because we have lots of fun social plans, so we’re going to post a few lunch recipes too, just to keep things interesting.
We went to the Yankee game Sunday afternoon with our friends Jeff and Marie. As per usual, we ate our share of fun ballpark food, so we’ll have a little snack at most for dinner.
While Kim has a meeting at the New York Junior League on Monday, Tony will be out for dinner with his buddies, so Kim will be on her own once she gets home. While our dinner plans are different, we’ll probably have the same thing for lunch: The New York Times’ Green Garlic Tabbouleh. Kim made tabbouleh a few weeks go, but this recipes gives things a fun twist by using spring garlic, which is in season right now, but not for much longer.
Kim is going to a lecture Tuesday night and Tony will probably end up working late, so we’ll either meet up somewhere for dinner or just meet at home and order in. On Wednesday, Tony will be having dinner at a work event, so Kim will be on her own. Again, different dinners, same lunch, in this case The Minimalist Baker’s 30-Minute Portobello Mushroom Stir Fry. We’ve found that despite Lent being long over, we’re still skewing pretty vegetarian/pescatarian, and this dish fits the bill, though Tony may add a little chicken to it to mix things up.
Kim will be back at the New York Junior League on Thursday, so Tony will be on his own for dinner. On Friday, we’re going to an event organized by Tony’s university alumni organization: an exhibit of the works of Robert Ryman to be held at the Dia:Chelsea on West 22nd Street. We’ve had a lot of fun at previous alumni events, so we’re looking forward to this one. We’ll probably grab dinner somewhere near the gallery.
We have tickets to the ballet on Saturday, but will probably have dinner at home in the form of Food 52’s Cilantro Lime Salmon Cakes with Chipotle Mayo. If you’ve been following our blog for the past few weeks, you might notice that this is the third time we’ve had the recipe on our weekly menu. We really want to make it, but just haven’t been able to get to it yet. We’re committed to making it this week though and know we will enjoy it!"
8,"Commenting.
almostcool
Some of this spam is pretty glorious. I've been trying to keep pace in deleting it, but it just keeps coming back.
Seriously, though, thank you for all the well-wishes everyone. I will definitely keep writing, so swing by the other site when you get a chance.
chris
your the best reviewer ever.i almost felt like crying.
Jon
Weird that it's sort of coherent...and they're all linked? Sure it wasn't the crazy spam that drove you out Aaron? :P
Leighton
I just want to say thank you for all the time and effort you have put in to this site as I have discovered many artists/albums through your reviews.
Good luck with the new site, I have already bookmarked it.
One quick question: what do you think of the new AC album and will you be writing about it on the new site?
Marshall
Godspeed Almost Cool!
Eoin
Very disappointed. This has been my main port of call for new music for the last three years. I really got an enormous amount out of this site. Good luck with the Something Excellent - I'll certainly be stopping by.
Michael
Well after reading this site since 2002, I'm disappointed to say the least. Have to admit our tastes have drifted apart somewhat over the last few years, but I still looked forward to reading every Friday.
Good luck with the new venture, will definitely bookmark it.
Manji
I feel sad for your decision, as your reviews have influenced me a lot thourgh there years. Good luck and thank you.
David
I wish you well on your new site! I'll visit it often just as I do almost cool. I want to thank you for having this massive review database up. It's helped me open my eyes to some great music :).
Jon
Been following this website for at least seven years and learned a ton from it. Thank you so much! How else would I know about the Denver Gentlemen?
Lee
Wow. Long time listener, first time caller... Just want to say, your reviews have strongly influenced my taste over the past 3~4 years. Thanks for your hard work, best of luck with your new projects!
Bartek
Cool job. I will miss your opinions. That's a sad decision for me, but this is your life, so good luck for you.
Bartek
Very cool job all these years. I will miss your opinions. That's a sad decision for me, but this is your life, so good luck for you.
Elwin Rijken
Hey Aaron! 10 years! Damn, I remember stumbling on this site while looking for an Aphex Twin review some 7 to 8 years ago, and since have been following your website weekly (in periods, even daily)!
So this is kinda sad news, even though there's a new site. But good to know everything stays up.
I wish you good luck on the new website and want to thank you with all the musical tips you gave me for all those years!
(Do Make Say Think, GYBE, Sigur Rós, Múm, Broken Social Scene, to name a few of the big ones)
kind regards Elwin
Jaime
Hi, I've been a lurker of your site for 5 years. Thanks fot the great music you have directed me to..
Only one question: in your review of Wilco's YHF you said you would pay more attention to this group. But nothing has been reviewed since. What do you think of their later albums?
Good luck in your new occupations and happy 2009
Eric
I kind of felt this coming, so I'm not very surprised at all. Been hooked on this site since 2006/2007 but have kind of felt the general enthusiasm in your writing drop in the last half of this year. Really glad though that you let the year run to an end before putting the site to sleep. No need to drag it any longer if it's more of a chore than a joy.
Can't thank you enough for keeping this site running with new entries every friday. You know how to keep your readers and listen to them. ;) Musically, it has been an eye-opener into so much exciting stuff. Personally, it's been a very healthy road to follow and a sanctuary in the Internet chaos.
Looking forward to some action on the new site!
Cheers!
Collin
As a memorial, I'd love to see a list of the Top-however-many albums since starting the site -- 1996-2008 yes?
Sure, if we see ratings as immutable we could more or less do this ourselves, but I'm interested in how things have changed; would OKC and Agaetis Byrjun still top the list? What have you discovered long after its time?
This site has been a regular visit of mine since ... 2003 maybe? and it's been delightful to see how hard you work to promote bands that might not otherwise get noticed by anyone. At the same time, I absolutely see how the numerical rating bell curve can grow exhausting -- music writing was made to instill pleasure, to be a sprawling manifesto, to be something you want to do. I find if I can write at length about anything, I inevitably end up liking even the things that I might have reservations about. I really look forward to seeing where you go from here. Best!
Aaron
What are we gonna do with all these extra 7s we'll have laying around now???? :)
But seriously, the internet is a better place for this site. Sad to see it go, but I'm sure Something Excellent will carry the torch proudly.
David
Sad news, but after reading your blog I can understand where you're coming from. Thanks for all the recommendations over the few years i've read your output.
almostcool
It was fun for awhile, but I simply had to shut down comments as the spam was getting out of control. If you want to comment, zoom over to the new site or shoot me an email. Thanks."
9,"5 Great Podcasts on Love and Relationships/
As much as you’d like to think that you can handle your love and relationship problems on your own like a champ, it never hurts to get advice (or even an entirely different perspective) from people who have already been there, done that, and set up an appropriately themed podcast to talk about it.
But with the sheer number of love and relationship podcasts out there, you just can’t help but wonder: Which ones among them should you be listening to?
And frankly, does it even matter?
Seriously, how many different ways can people actually talk about such a universal and all-encompassing emotion as love?
As it turns out, quite a lot — and these five love and relationship podcasts are among the best and most unique ones out there.
Love Is Like A Plant with Sarah May Bates and Ellen Huerta
What do you get when you combine two experts on love and heartbreak in one podcast? An informative and in-depth conversation about planting the seeds of love in your life and making it last, no matter what kinds of challenges come your way.
Ellen Huerta, the creator of break-up support app Mend, teams up with Sarah May Bates, the self-improvement and emotional coping guru, on Love is Like a Plant. This one-of-a-kind podcast revolves around a single question: “If love is like a plant, how does one keep it alive?”
From defining a relationship to dealing with how to end it, Ellen and Sarah take listeners through a wide spectrum of love, sex, dating, and break-up advice, offering helpful advice and witty commentary along the way.
Relationships! Let’s Talk About It with Pripo Teplitsky
Relationships aren’t just about love or sex. From the way we talk to our siblings to how we cope with a dear friend who’s moving away, interpersonal relationships are rife with so many little issues and particulars that we sometimes get lost in the shuffle and forget the things that really matter.
Those small yet significant things are what psychotherapist and professional marriage and couples counselor Pripo Teplitsky tackles in each episode of Relationships! Let’s Talk About It. Pripo often has guests on his show with very interesting stories to tell.
Whether it’s a problem with your best buddy, your parents, your neighbor, or even your roommate, Pripo’s more than happy to talk about it—and even talk you through it.
Unqualified with Anna Faris
Some would look at a celebrity and wonder what a person who probably has everything she wants could ever offer in terms of relationship advice. After all, life’s generally a smooth cruise for these superstar types, right?
Actress, model, and author Anna Faris smashes that stereotype and serves up some delightful nuggets of wisdom in the amusingly titled podcast, Unqualified.
Anna features celebrity guests on her show, and asks about their personal lives in a way that’s both thorough and respectful. She’s also refreshingly open and honest, and is quite adept at keeping the mood fun without losing the emotions behind each story shared on the podcast.
Confessions of a Terrible Husband with Nick Pavlidis
The image of a husband in the proverbial doghouse, forced to spend the night lying on the living room sofa instead of beside his wife, is often played for laughs in pop culture. Author and motivational coach Nick Pavlidis, however, uses that mental image to deliver wise, honest, and hilariously self-deprecating stories revolving around the point when he realized that he was far from the ideal husband he’d thought himself to be.
Nick tackles an assortment of marital problems with the ease and expertise of a man who has spent one too many nights on a lumpy couch (and isn’t ashamed to admit it). On Confessions of a Terrible Husband: Lessons Learned from a Lumpy Couch, he shares his stumbles and challenges as a husband (which he jestingly calls “moron purgatory”), infused with advice from qualified relationship experts.
And yes, he will gladly help you pronounce his last name properly.
Savage Lovecast with Dan Savage
The name of this podcast works on so many levels. Not only does author and public speaker Dan Savage host the Savage Lovecast, but the subjects it deals with are also… savage, for lack of a better word.
Since 2006, Dan has been dishing out real talk on dating, sex, and love (even way before #realtalk or podcasts were a thing).
Whether it’s standard relationship stuff or more taboo topics that would make your parents and grandparents blush, Dan’s definitely got something substantial to say, delivered in an unapologetic and entertaining manner.
Your Turn!
These five love and relationship podcasts cover most if not all of the bases when it comes to romance, friendships, family, and the other interpersonal aspects of our day-to-day lives. Sure, it’s nice to have people to listen to us when we have relationship woes. You’ll find, though, that being on the listening end can be quite helpful, too — perhaps, even more than you may realize.
Are you in love with podcasts on relationships? What’s your favorite?
Share your favorite love and relationship podcasts in the comments below!"
