text,label,doc_id
Nic Hansen,PERSON,0
Macau,GPE,0
Antimo Merone,PERSON,0
RISE,ORG,0
raspberry,PERSON,0
the Berry Export Summary,ORG,0
Hort Innovation,ORG,0
Jenny Van de Meeberg,PERSON,0
Zimbabwe,GPE,1
"Olschewski • Skat
Project",PERSON,1
Collaborators & Partners,ORG,1
Sub-Sahara Africa,GPE,1
USA,GPE,1
Android,ORG,2
Twitter,PERSON,2
Real-Time,ORG,2
Avatar,ORG,2
India,GPE,3
India,GPE,3
National Sample Survey,ORG,3
NSS,ORG,3
India,GPE,3
NSS,ORG,3
India,GPE,3
India,GPE,3
India,GPE,3
Gunnar Nelson,PERSON,4
Zak Cummings,ORG,4
UFC Fight Night,ORG,4
Nelson,PERSON,4
Karate,PERSON,4
Cummings,GPE,4
Nelson,PERSON,4
Nelson,PERSON,4
Nelson,PERSON,4
Nelson,PERSON,4
Nelson,PERSON,4
Cummings,GPE,4
nelson,PERSON,4
Fabiana Filippi's,ORG,5
Dan Foley,PERSON,6
Dan Foley,PERSON,6
Foley,PERSON,6
Maine,GPE,6
Carolyn,PERSON,6
Sierra,ORG,6
the Table Menu Week,EVENT,7
Yankee,ORG,7
Jeff,PERSON,7
Marie,PERSON,7
Kim,PERSON,7
the New York Junior League,ORG,7
Tony,PERSON,7
Kim,PERSON,7
The New York Times’ Green Garlic Tabbouleh,ORG,7
Kim,PERSON,7
Kim,PERSON,7
Tony,PERSON,7
chris,PERSON,8
"Jon
Weird",PERSON,8
Aaron,PERSON,8
Leighton,PERSON,8
AC,ORG,8
Marshall,PERSON,8
Love,WORK_OF_ART,9
Relationships/,PERSON,9
Love,WORK_OF_ART,9
Sarah May Bates,PERSON,9
Ellen Huerta,PERSON,9
Primal Quest,ORG,10
Utah,GPE,10
Utah,GPE,10
Gordon Wright,PERSON,10
Primal Quest,ORG,10
Wordsmith.org,GPE,11
noun,PERSON,11
Truglo Riser Mount Picatinny,PERSON,12
AR-15,PRODUCT,12
Raises,PERSON,12
Picatinny,PERSON,12
AR-15 Flattop,PERSON,12
b2cu.cuna.org,GPE,13
ACH,ORG,13
VISA,ORG,13
MasterCard,ORG,13
PDF,ORG,13
CUNA/League,ORG,13
Jim Kouri,PERSON,14
Barack Obama,PERSON,14
Eric Holder,PERSON,14
Congress,ORG,14
al-Qaeda,ORG,14
the Joint Chiefs of Staff,ORG,14
the National Defense Intelligence College,ORG,14
the U.S. Army Combined Arms Center,ORG,14
JW,ORG,14
FBI,ORG,14
the Army Combating Terrorism Center,ORG,14
West Point,GPE,14
Islam,ORG,14
Bertie,PERSON,15
Soho Martini Kapow!-ing,PERSON,15
Cab Kapow,PERSON,15
London,GPE,15
London,GPE,15
London,GPE,15
Adam Thirlwell,PERSON,15
London,GPE,15
Kapow,PERSON,15
Kapow,PERSON,15
Adam Thirlwell,PERSON,15
Story,PERSON,15
Great,GPE,15
Great,GPE,15
Pics,GPE,15
Adam Thirlwell,PERSON,15
Morganite,PERSON,16
California,GPE,16
Madagascar,GPE,16
J.P. Morgan,PERSON,16
Morganite,GPE,16
Concrete Crusher,PERSON,17
"Crushed Concrete Aggregate Concrete Construction
Crushing",ORG,17
the Construction Materials Recycling,ORG,17
La Rioja,GPE,17
Recycling Concrete How to Recycle Concrete,WORK_OF_ART,17
"Construction Recycling For Sale Top Brand Buy
Construction Recycling For Sale Top Brand",WORK_OF_ART,17
FREE,ORG,18
Overstock.com,ORG,18
"Shoebuy.com
Women's Naot Rome - Buffalo Leather Orthopedic Shoes",ORG,18
Women's,ORG,18
"Birko Flor - Onyx
Jack Rogers Women's",PERSON,18
Napa Valley Thong Sandal,ORG,18
Society of Professional Journalists,ORG,19
Austin Chapter,PERSON,19
The Society of Professional Journalists,ORG,19
NFL,ORG,20
The Virginia Environmental Education Certification,ORG,21
the Virginia Environmental Education Certification,ORG,21
the North American Association for Environmental Education,ORG,21
NAAEE,ORG,21
NAAEE,ORG,21
the Ancient Ohio Earthworks,ORG,22
Ohio,GPE,22
the World Heritage List,ORG,22
"The Nomination Process
The U.S. Department of the Interior",WORK_OF_ART,22
the National Park Service,ORG,22
ROME,GPE,23
Vatican Mute,WORK_OF_ART,23
Francis,PERSON,23
Biden,PERSON,23
Francis Invites Delegation,PERSON,23
Vatican,GPE,23
ROME,GPE,23
Italy,GPE,23
Francis,PERSON,23
Canada,GPE,23
Church,ORG,23
Vatican News,ORG,23
Pope Francis,PERSON,23
Vatican,PRODUCT,23
Kim Davis,PERSON,23
COUP,ORG,23
the Globe and Mail,ORG,24
JeninCanada,ORG,24
a Creative Commons Attribution-NonCommercial-ShareAlike,ORG,24
Unported License,PERSON,24
Blogging,GPE,24
Choice Day,EVENT,24
Lose Hate,PERSON,24
Fierce Fatties,ORG,24
Kellogg,ORG,24
Marilyn Wann,PERSON,24
Yay,PERSON,24
Southern Living Idea House,ORG,25
Bunny Williams,PERSON,25
My Notting Hill,ORG,25
Southern Living Idea House,ORG,25
Bunny Williams,PERSON,25
Scotland,GPE,26
Gregory Johnson,PERSON,27
Gregory Johnson,PERSON,27
Gregory Johnson's,PERSON,27
Franklin Templeton Investments's,ORG,27
Franklin Templeton Investments,ORG,27
Gregory Johnson's,PERSON,27
Franklin Templeton Investments,ORG,27
St. Simons,GPE,27
Investment bank,ORG,27
Gregory J. Bamberg - Other,PERSON,27
Fibernet Direct's,ORG,27
Gregory J. Bamberg,PERSON,27
Sweetwater,PERSON,27
Telecom,GPE,27
Gregory J. Bamberg's,PERSON,27
Fibernet Direct,ORG,27
"Charles Robinson
Read",PERSON,29
Download Aesop's,PERSON,29
Fables PDF,PERSON,29
Hood,PERSON,29
the Brighter Child(R,ORG,29
Rhea,PERSON,29
miller,ORG,29
Rhea,PERSON,29
Roberto Alagna,PERSON,30
Roberto Alagna,PERSON,30
GB,GPE,30
Genre,PERSON,30
Digital Download,PERSON,30
Deutsche Grammophon,ORG,30
AIR Studios (Londres,ORG,30
Abbey Road Studios,ORG,30
Roberto Alagna,PERSON,30
Aleksandra Kurzak,ORG,30
Pagliacci,ORG,30
Manon Lescaut,PERSON,30
Madama Butterfly,PERSON,30
Roberto Devereux,PERSON,30
Roberto Alagna’s,PERSON,30
La Scala,PERSON,30
Angela Gheorghiu,PERSON,30
Alagna,PERSON,30
Coronavirus,ORG,31
Majestic Splendour,WORK_OF_ART,32
BellaNaija Weddings,ORG,32
Acknowledgements & Vendors,ORG,32
Grace,PERSON,32
Wuthering Heights,GPE,33
Wuthering Heights,GPE,33
Emily Bronte,PERSON,33
Wuthering Heights,GPE,33
Heathcliff,ORG,33
