id,question,ground_truth,vector_answer,graph_answer,vector_correct,graph_correct,graph_method,vector_time,graph_time
0,What is the Berry Export Summary 2028 and what is its purpose?,"The Berry Export Summary 2028 is a dedicated export plan for the Australian strawberry, raspberry, and blackberry industries. It maps the sectors’ current position, where they want to be, high-opportunity markets, and next steps. The purpose of this plan is to grow their global presence over the next 10 years.","The Berry Export Summary 2028 is a dedicated export plan that maps the current position and future goals of the Australian strawberry, raspberry, and blackberry industries. Its purpose is to grow the global presence of these sectors over the next 10 years.","The Berry Export Summary 2028 is a dedicated export plan that maps the current position, desired future, high-opportunity markets, and next steps for the Australian strawberry, raspberry, and blackberry industries. Its purpose is to grow the global presence of these sectors over the next 10 years.",False,True,graph,0.359,0.295
1,What are some of the benefits reported from having access to Self-supply water sources?,"Benefits reported from having access to Self-supply water sources include convenience, less time spent for fetching water and access to more and better quality water. In some areas, Self-supply sources offer important added values such as water for productive use, income generation, family safety and improved food security.","Benefits reported from having access to Self-supply water sources include convenience, less time spent for fetching water, and access to more and better quality water. In some areas, Self-supply sources offer important added values such as water for productive uses.","Benefits reported from having access to Self-supply water sources include convenience, less time spent for fetching water, and access to more and better quality water. In some areas, Self-supply sources offer important added values such as water for productive uses.",True,True,fallback,0.204,0.224
2,What are the unique features of the Coolands for Twitter app?,"The unique features of the Coolands for Twitter app include Real-Time updates without the need for a refresh button, Avatar Indicator which shows small avatars on the title bar for new messages, Direct Link for intuitive and convenient link opening, Smart Bookmark to easily return to previous reading position, and User Level Notification which allows customized notification settings for different users.","The unique features of the Coolands for Twitter app are Real-Time updates and Avatar Indicator, which shows new messages/tweets/mentions in real-time.","The unique features of the Coolands for Twitter app are Real-Time updates and Avatar Indicator, which shows new messages/tweets/mentions in real-time.",False,False,fallback,0.181,0.188
3,What is the main difference between the National Sample Survey (NSS) and the India Human Development Survey (IHDS) in terms of measuring India's inequality?,"The main difference between the NSS and the IHDS in terms of measuring India's inequality is that the NSS focused on consumption, that is, how much people actually consume, while the IHDS is based on income. The NSS was showing consistently lower rates of growth and higher poverty, while the IHDS revealed a higher level of inequality, similar to Latin American countries.","The main difference between the National Sample Survey (NSS) and the India Human Development Survey (IHDS) is that NSS measures consumption, focusing on caloric intake, while IHDS measures income, providing a more direct assessment of economic inequality. This difference in measurement approach offers a distinct perspective on India's inequality.","The main difference between the National Sample Survey (NSS) and the India Human Development Survey (IHDS) is that the NSS measures consumption, focusing on caloric intake, while the IHDS measures income. This difference in measurement approach provides distinct insights into India's inequality.",False,False,graph,0.356,0.363
4,How did Gunnar Nelson win the fight against Zak Cummings at UFC Fight Night 46?,"Gunnar Nelson won the fight against Zak Cummings at UFC Fight Night 46 by taking his opponent to the mat, seizing his back and locking in a rear-naked choke, forcing Cummings to tap with only twelve seconds of the second round remaining.","Gunnar Nelson won the fight against Zak Cummings at UFC Fight Night 46 by submitting him with a rear-naked choke in the second round. He took Cummings to the mat, seized his back, and locked in the choke almost effortlessly.",Gunnar Nelson won the fight against Zak Cummings at UFC Fight Night 46 by locking in a fight-ending choke after taking Cummings to the mat and seizing his back in the second round.,False,False,graph,0.203,0.63
5,What are some of the features of Fabiana Filippi's shirts and blouses?,"Fabiana Filippi's shirts and blouses are easily matched to different shapes, fabrics and colours. They are made from silk and cotton, and come in classic, slim and over cuts, in ultra-modern style. They are available in different lengths up to maxi lines, and come in men’s cut, Korean, V, round necks. They are suitable to wear during the day and at night.","Fabiana Filippi's shirts and blouses feature timeless style, ultra-versatility, and impeccable elegance. They come in various styles, including classic, slim, and over cuts, with different sleeve lengths and neck options.","Fabiana Filippi's shirts and blouses feature timeless styles, ultra-versatile use, and impeccable elegance. They come in various cuts, lengths, and sleeve styles, including classic, slim, and over cuts, and are available in different lengths up to maxi lines.",False,False,graph,0.208,0.227
6,How did Dan Foley feel about his portrayal on the Survivor TV show?,"Dan Foley expressed his frustration about his portrayal on the Survivor TV show, stating that he was portrayed negatively and was surprised at how vitriolic the viewer response has been.","Dan Foley felt that his portrayal on the Survivor TV show was unfair, and he was surprised at how negatively he was portrayed. He realized he was going to get a villain's edit after watching the first two episodes.",There is no information about Dan Foley or his feelings about a Survivor TV show portrayal in the given context.,False,False,graph,0.214,0.192
7,What is the lunch that Kim and Tony plan to have on Monday according to the context?,The New York Times’ Green Garlic Tabbouleh.,Kim and Tony plan to have The New York Times' Green Garlic Tabbouleh for lunch on Monday.,There is no mention of Kim and Tony planning a lunch in the context.,False,False,graph,0.18,0.16
8,What is the reason for the closure of the comments section?,The comments section was shut down because the spam was getting out of control.,There is no mention of a comments section being closed in the provided context.,There is no mention of a comments section being closed in the provided context.,False,False,fallback,0.292,0.203
9,What are the five love and relationship podcasts mentioned in the context?,"The five love and relationship podcasts mentioned in the context are ""Love Is Like A Plant"" with Sarah May Bates and Ellen Huerta, ""Relationships! Let’s Talk About It"" with Pripo Teplitsky, ""Unqualified"" with Anna Faris, ""Confessions of a Terrible Husband"" with Nick Pavlidis, and ""Savage Lovecast"" with Dan Savage.","Unfortunately, the context does not mention the names of the five love and relationship podcasts. However, it does mention one of them: ""Love Is Like A Plant"".","Unfortunately, the context does not mention the names of the five love and relationship podcasts. However, it does mention one of them: ""Love Is Like A Plant"".",False,False,fallback,0.226,0.201
10,Which two teams dropped out of the Primal Quest Utah race and what were their reasons for doing so?,"The two teams that dropped out of the Primal Quest Utah race were Team Utah and Team xxTreme US. Team Utah quit due to blisters and exhaustion, while Team xxTreme US, which was largely comprised of Navy SEALs, had to withdraw due to injury.","Unfortunately, the text does not mention which two teams dropped out of the Primal Quest Utah race or their reasons for doing so.",There is no information about the Primal Quest Utah race in the provided context.,False,False,graph,0.548,0.198
11,What does the word 'quantum' mean as per the context?,"The word 'quantum' means a quantity or amount, a portion, a large amount, or the smallest amount of something that can exist independently.","In the context, the word ""quantum"" refers to a small or limited amount of time, implying that the speaker feels they don't have much time to write.","In the context, the word ""quantum"" refers to a small or limited amount of time, implying that the speaker feels they don't have much time.",False,False,fallback,0.213,2.295
12,What is the purpose of the TRUGLO Picatinny Riser Mount?,The TRUGLO Picatinny Riser Mount is great for raising your red dot sight 1/2″ to be at the proper height for an ideal cheek weld.,"The TRUGLO Picatinny Riser Mount raises the mounting surface of a red dot sight by 1/2"" for an ideal cheek weld on an AR-15 Flattop. It mounts to the existing Picatinny-style rail without modification.","The TRUGLO Picatinny Riser Mount raises the mounting surface of a red dot sight by 1/2"" for an ideal cheek weld on an AR-15 Flattop. It allows for easy installation without modification.",False,False,fallback,2.401,3.408
13,What is the cost for credit union attendees under $35 million in assets to attend the conference?,The cost for credit union attendees under $35 million in assets to attend the conference is $495.,"The cost for credit union attendees under $35 million in assets is $495. To receive this discount, enter the promotional code GACSMALL on the ""complete checkout"" page.","The cost for credit union attendees under $35 million in assets is $495. To receive this discount, enter the promotional code GACSMALL during the registration process.",True,True,fallback,2.381,2.27
14,What was the goal of the purge of training material regarding Islamic terrorism from law enforcement training under President Barack Obama's administration?,The goal was to banish any material that could be viewed as offensive to Muslims.,The goal of the purge was to banish any material that could be viewed as offensive to Muslims. This was done to avoid hurting the country's fight against terrorist groups like al-Qaeda.,The goal of the purge of training material regarding Islamic terrorism from law enforcement training under President Barack Obama's administration was to eliminate training materials that were deemed to be Islamophobic or insensitive.,True,False,graph,2.247,3.268
15,Who is the author of the book Kapow!?,The author of the book Kapow! is Adam Thirlwell.,The author of the book Kapow! is Adam Thirlwell.,"There is no mention of the book ""Kapow!"" in the provided context.",True,False,graph,2.234,2.428
16,What are some of the names Morganite is also known as?,Morganite is also known as 'pink emerald' and 'rose beryl'.,Morganite is also known as 'pink emerald' and 'rose beryl'.,Morganite is also known as 'pink emerald' and 'rose beryl'.,True,True,graph,1.24,3.234
17,What is the purpose of recycling concrete in construction?,"Recycling concrete in construction helps in reutilizing the construction waste into new concrete, preserving landfill space, and reducing construction costs.","The purpose of recycling concrete in construction is to process construction waste into reutilized concrete, reducing waste and conserving natural resources. It also helps to create crushed concrete aggregate for use in new concrete projects.","The purpose of recycling concrete in construction is to process construction waste into reutilized concrete, reducing waste and conserving natural resources. It also helps to create crushed concrete aggregate for use in new concrete projects.",False,False,fallback,1.265,2.292
18,What are some features of the Womens Drew Argo Black Smooth Leather sandal?,"The Womens Drew Argo Black Smooth Leather sandal features an adjustable strap, smooth uppers, a double depth thick removable cork footbed with memory foam, a tempered steel shank, and a broad, oblique toe shape.","The Womens Drew Argo Black Smooth Leather sandal features an adjustable strap, smooth uppers, a double depth thick removable cork footbed with memory foam, tempered steel shank, and a broad, oblique toe shape. It also comes on or off easily with the adjustable strap.","The Womens Drew Argo Black Smooth Leather sandal features an adjustable strap, smooth uppers, a double depth thick removable cork footbed with memory foam, tempered steel shank, and a broad, oblique toe shape. It also comes on or off easily with the adjustable strap.",True,True,fallback,2.265,3.384
19,What are some of the benefits of joining the SPJ Austin Student Chapter?,"Joining the SPJ Austin Student Chapter gives students opportunities to deepen their journalistic knowledge outside of the classroom, connect with professionals in the industry, and attend various events.","Joining the SPJ Austin Student Chapter allows aspiring journalists to gain knowledge about their future profession through guest speakers, social events, and hands-on experience. It also provides opportunities to socialize with fellow students who share their interests and foster communication with others.",There is no information about the SPJ Austin Student Chapter in the given context. The context is about the Portland Trail Blazers making the playoffs and their upcoming games.,False,False,graph,1.435,4.222
